kit,core,voltage_V,rate_bins_per_s,energy_dyn_per_bin_nJ,leakage_total_uW,leakage_logic_uW,p_avg_uW,p_avg_logic_leak_uW
NanGate45 / FreePDK45,min32,1.1,500,0.24425,665.37,665.41,665.49,665.54
NanGate45 / FreePDK45,min32,1.1,1000,0.24425,665.37,665.41,665.62,665.66
NanGate45 / FreePDK45,min16,1.1,1,0.13915,352.04,352.05,352.04,352.05
NanGate45 / FreePDK45,min16,1.1,2,0.13915,352.04,352.05,352.04,352.05
NanGate45 / FreePDK45,min16,1.1,5,0.13915,352.04,352.05,352.05,352.05
NanGate45 / FreePDK45,min16,1.1,10,0.13915,352.04,352.05,352.05,352.05
NanGate45 / FreePDK45,min16,1.1,20,0.13915,352.04,352.05,352.05,352.05
NanGate45 / FreePDK45,min16,1.1,50,0.13915,352.04,352.05,352.05,352.06
NanGate45 / FreePDK45,min16,1.1,100,0.13915,352.04,352.05,352.06,352.06
NanGate45 / FreePDK45,min16,1.1,250,0.13915,352.04,352.05,352.08,352.08
NanGate45 / FreePDK45,min16,1.1,500,0.13915,352.04,352.05,352.11,352.12
NanGate45 / FreePDK45,min16,1.1,1000,0.13915,352.04,352.05,352.18,352.19
ASAP7 RVT,sp,0.7,1,0.044446,3.3014,3.3013,3.3014,3.3014
ASAP7 RVT,sp,0.7,2,0.044446,3.3014,3.3013,3.3015,3.3014
ASAP7 RVT,sp,0.7,5,0.044446,3.3014,3.3013,3.3016,3.3016
ASAP7 RVT,sp,0.7,10,0.044446,3.3014,3.3013,3.3018,3.3018
ASAP7 RVT,sp,0.7,20,0.044446,3.3014,3.3013,3.3023,3.3022
ASAP7 RVT,sp,0.7,50,0.044446,3.3014,3.3013,3.3036,3.3036
ASAP7 RVT,sp,0.7,100,0.044446,3.3014,3.3013,3.3058,3.3058
ASAP7 RVT,sp,0.7,250,0.044446,3.3014,3.3013,3.3125,3.3124
ASAP7 RVT,sp,0.7,500,0.044446,3.3014,3.3013,3.3236,3.3236
ASAP7 RVT,sp,0.7,1000,0.044446,3.3014,3.3013,3.3458,3.3458
ASAP7 RVT,m12,0.7,1,0.049079,3.8058,3.8058,3.8059,3.8059
ASAP7 RVT,m12,0.7,2,0.049079,3.8058,3.8058,3.8059,3.8059
ASAP7 RVT,m12,0.7,5,0.049079,3.8058,3.8058,3.8061,3.8061
ASAP7 RVT,m12,0.7,10,0.049079,3.8058,3.8058,3.8063,3.8063
ASAP7 RVT,m12,0.7,20,0.049079,3.8058,3.8058,3.8068,3.8068
ASAP7 RVT,m12,0.7,50,0.049079,3.8058,3.8058,3.8083,3.8083
ASAP7 RVT,m12,0.7,100,0.049079,3.8058,3.8058,3.8107,3.8107
ASAP7 RVT,m12,0.7,250,0.049079,3.8058,3.8058,3.8181,3.8181
ASAP7 RVT,m12,0.7,500,0.049079,3.8058,3.8058,3.8304,3.8304
ASAP7 RVT,m12,0.7,1000,0.049079,3.8058,3.8058,3.8549,3.8549
ASAP7 RVT,min32,0.7,1,0.043227,2.8087,2.8087,2.8088,2.8087
ASAP7 RVT,min32,0.7,2,0.043227,2.8087,2.8087,2.8088,2.8087
ASAP7 RVT,min32,0.7,5,0.043227,2.8087,2.8087,2.8089,2.8089
ASAP7 RVT,min32,0.7,10,0.043227,2.8087,2.8087,2.8092,2.8091
ASAP7 RVT,min32,0.7,20,0.043227,2.8087,2.8087,2.8096,2.8095
