kit,core,cls,n_cells,leak_uW
sky130,m12_s131,decap,80913,0.262158
sky130,m12_s131,fill,11848,0.0
sky130,m12_s131,tap,8062,0.0
sky130,m12_s131,diode,12,0.0
sky130,m12_s131,endcap,0,0.0
sky130,m12_s131,logic,24633,0.103373
sky130,g48,decap,62314,0.201897
sky130,g48,fill,9602,0.0
sky130,g48,tap,6222,0.0
sky130,g48,diode,12,0.0
sky130,g48,endcap,0,0.0
sky130,g48,logic,18916,0.080161
sky130,g48p50,decap,42602,0.13803
sky130,g48p50,fill,6752,0.0
sky130,g48p50,tap,4515,0.0
sky130,g48p50,diode,12,0.0
sky130,g48p50,endcap,0,0.0
sky130,g48p50,logic,16087,0.067472
sky130,g48p25,decap,24974,0.080916
sky130,g48p25,fill,5811,0.0
sky130,g48p25,tap,3330,0.0
sky130,g48p25,diode,12,0.0
sky130,g48p25,endcap,0,0.0
sky130,g48p25,logic,14435,0.059884
sky130,g32p125,decap,9941,0.032209
sky130,g32p125,fill,3437,0.0
sky130,g32p125,tap,1664,0.0
sky130,g32p125,diode,12,0.0
sky130,g32p125,endcap,0,0.0
sky130,g32p125,logic,8598,0.034503
sky130,g32p50_s622,decap,29993,0.097177
sky130,g32p50_s622,fill,5172,0.0
sky130,g32p50_s622,tap,3168,0.0
sky130,g32p50_s622,diode,12,0.0
sky130,g32p50_s622,endcap,0,0.0
sky130,g32p50_s622,logic,11435,0.046373
sky130,g32p50_s131,decap,28937,0.093756
sky130,g32p50_s131,fill,5273,0.0
sky130,g32p50_s131,tap,3132,0.0
sky130,g32p50_s131,diode,12,0.0
sky130,g32p50_s131,endcap,0,0.0
sky130,g32p50_s131,logic,11101,0.04583
gf180,sp,decap,5313,0.265677
gf180,sp,fill,13668,0.6834
gf180,sp,tap,0,0.0
gf180,sp,diode,12,0.0015
gf180,sp,endcap,430,0.0215
gf180,sp,logic,18951,3.1525
gf180,m12,decap,18060,0.90309
gf180,m12,fill,24499,1.22495
gf180,m12,tap,0,0.0
gf180,m12,diode,12,0.0015
gf180,m12,endcap,582,0.0291
gf180,m12,logic,21859,4.038794
gf180,min32,decap,6875,0.343784
gf180,min32,fill,12716,0.6358
gf180,min32,tap,0,0.0
gf180,min32,diode,12,0.0015
gf180,min32,endcap,420,0.021
gf180,min32,logic,15313,2.568505
gf180,min16,decap,2131,0.106561
gf180,min16,fill,5916,0.2958
gf180,min16,tap,0,0.0
gf180,min16,diode,12,0.0015
gf180,min16,endcap,280,0.014
gf180,min16,logic,8445,1.359995
gf180,lmin2,decap,158593,7.930443
gf180,lmin2,fill,181648,9.0824
gf180,lmin2,tap,0,0.0
gf180,lmin2,diode,55,0.006876
gf180,lmin2,endcap,1694,0.0847
gf180,lmin2,logic,134639,32.508065
gf180,g32p50,decap,6127,0.306381
gf180,g32p50,fill,10263,0.51315
gf180,g32p50,tap,0,0.0
gf180,g32p50,diode,12,0.0015
gf180,g32p50,endcap,368,0.0184
gf180,g32p50,logic,11498,1.926011
ihp,sp,decap,73572,55.917944
ihp,sp,fill,14514,0.0
ihp,sp,tap,0,0.0
ihp,sp,diode,3046,0.013159
ihp,sp,endcap,0,0.0
ihp,sp,logic,23453,3.658314
ihp,min32,decap,61242,46.442151
ihp,min32,fill,12799,0.0
ihp,min32,tap,0,0.0
ihp,min32,diode,2689,0.011616
ihp,min32,endcap,0,0.0
ihp,min32,logic,20603,2.982668
ihp,min16,decap,19726,14.639129
ihp,min16,fill,6562,0.0
ihp,min16,tap,0,0.0
ihp,min16,diode,386,0.001668
ihp,min16,endcap,0,0.0
ihp,min16,logic,11468,1.535292
nangate45,sp,decap,0,0.0
nangate45,sp,fill,13253,0.0
nangate45,sp,tap,378,0.0
nangate45,sp,diode,0,0.0
nangate45,sp,endcap,0,0.0
nangate45,sp,logic,22570,764.280101
nangate45,m12,decap,0,0.0
nangate45,m12,fill,20703,0.0
nangate45,m12,tap,581,0.0
nangate45,m12,diode,0,0.0
nangate45,m12,endcap,0,0.0
nangate45,m12,logic,24959,916.479874
nangate45,min32,decap,0,0.0
nangate45,min32,fill,10071,0.0
nangate45,min32,tap,348,0.0
nangate45,min32,diode,0,0.0
nangate45,min32,endcap,0,0.0
nangate45,min32,logic,20045,665.414907
nangate45,min16,decap,0,0.0
nangate45,min16,fill,7212,0.0
nangate45,min16,tap,261,0.0
nangate45,min16,diode,0,0.0
nangate45,min16,endcap,0,0.0
nangate45,min16,logic,11417,352.048369
nangate45,g32p50,decap,0,0.0
nangate45,g32p50,fill,9911,0.0
nangate45,g32p50,tap,318,0.0
nangate45,g32p50,diode,0,0.0
nangate45,g32p50,endcap,0,0.0
nangate45,g32p50,logic,13485,457.135838
asap7,sp,decap,7156,0.0
asap7,sp,fill,11131,0.0
asap7,sp,tap,680,0.0
asap7,sp,diode,0,0.0
asap7,sp,endcap,0,0.0
asap7,sp,logic,19954,3.301335
asap7,m12,decap,10079,0.0
asap7,m12,fill,11267,0.0
asap7,m12,tap,788,0.0
asap7,m12,diode,0,0.0
asap7,m12,endcap,0,0.0
asap7,m12,logic,22464,3.805834
asap7,min32,decap,6085,0.0
asap7,min32,fill,9880,0.0
asap7,min32,tap,632,0.0
asap7,min32,diode,0,0.0
asap7,min32,endcap,0,0.0
asap7,min32,logic,18180,2.808652
asap7,min16,decap,3366,0.0
asap7,min16,fill,5333,0.0
asap7,min16,tap,391,0.0
asap7,min16,diode,0,0.0
asap7,min16,endcap,0,0.0
asap7,min16,logic,10045,1.519906
asap7,g32p50,decap,4056,0.0
asap7,g32p50,fill,5958,0.0
asap7,g32p50,tap,443,0.0
asap7,g32p50,diode,0,0.0
asap7,g32p50,endcap,0,0.0
asap7,g32p50,logic,12511,2.058929
asap7sram,sp,decap,7189,0.0
asap7sram,sp,fill,10776,0.0
asap7sram,sp,tap,674,0.0
asap7sram,sp,diode,0,0.0
asap7sram,sp,endcap,0,0.0
asap7sram,sp,logic,19604,0.718731
asap7sram,m12,decap,10090,0.0
asap7sram,m12,fill,11369,0.0
asap7sram,m12,tap,785,0.0
asap7sram,m12,diode,0,0.0
asap7sram,m12,endcap,0,0.0
asap7sram,m12,logic,22477,0.842576
asap7sram,min32,decap,6230,0.0
asap7sram,min32,fill,9727,0.0
asap7sram,min32,tap,629,0.0
asap7sram,min32,diode,0,0.0
asap7sram,min32,endcap,0,0.0
asap7sram,min32,logic,17824,0.624966
asap7sram,min16,decap,3522,0.0
asap7sram,min16,fill,5277,0.0
asap7sram,min16,tap,391,0.0
asap7sram,min16,diode,0,0.0
asap7sram,min16,endcap,0,0.0
asap7sram,min16,logic,10058,0.343449
asap7sram,g32p50,decap,4042,0.0
asap7sram,g32p50,fill,5932,0.0
asap7sram,g32p50,tap,441,0.0
asap7sram,g32p50,diode,0,0.0
asap7sram,g32p50,endcap,0,0.0
asap7sram,g32p50,logic,12362,0.45426
