kit,core,voltage_V,rate_bins_per_s,energy_dyn_per_bin_nJ,leakage_total_uW,leakage_logic_uW,p_avg_uW,p_avg_logic_leak_uW,energy_window
ASAP7 RVT,g32p50,0.7,1000,0.063254,2.059,2.0589,2.1222,2.1222,sdf_w5000
ASAP7 SRAM-Vt (low leakage),sp,0.7,1,0.079693,0.71875,0.71873,0.71883,0.71881,sdf_w5000
ASAP7 SRAM-Vt (low leakage),sp,0.7,2,0.079693,0.71875,0.71873,0.71891,0.71889,sdf_w5000
ASAP7 SRAM-Vt (low leakage),sp,0.7,5,0.079693,0.71875,0.71873,0.71915,0.71913,sdf_w5000
ASAP7 SRAM-Vt (low leakage),sp,0.7,10,0.079693,0.71875,0.71873,0.71955,0.71953,sdf_w5000
ASAP7 SRAM-Vt (low leakage),sp,0.7,20,0.079693,0.71875,0.71873,0.72034,0.72032,sdf_w5000
ASAP7 SRAM-Vt (low leakage),sp,0.7,50,0.079693,0.71875,0.71873,0.72273,0.72272,sdf_w5000
ASAP7 SRAM-Vt (low leakage),sp,0.7,100,0.079693,0.71875,0.71873,0.72672,0.7267,sdf_w5000
ASAP7 SRAM-Vt (low leakage),sp,0.7,250,0.079693,0.71875,0.71873,0.73867,0.73865,sdf_w5000
ASAP7 SRAM-Vt (low leakage),sp,0.7,500,0.079693,0.71875,0.71873,0.7586,0.75858,sdf_w5000
ASAP7 SRAM-Vt (low leakage),sp,0.7,1000,0.079693,0.71875,0.71873,0.79844,0.79842,sdf_w5000
ASAP7 SRAM-Vt (low leakage),m12,0.7,1,0.13137,0.8426,0.84258,0.84273,0.84271,sdf_w5000
ASAP7 SRAM-Vt (low leakage),m12,0.7,2,0.13137,0.8426,0.84258,0.84286,0.84284,sdf_w5000
ASAP7 SRAM-Vt (low leakage),m12,0.7,5,0.13137,0.8426,0.84258,0.84326,0.84323,sdf_w5000
ASAP7 SRAM-Vt (low leakage),m12,0.7,10,0.13137,0.8426,0.84258,0.84392,0.84389,sdf_w5000
ASAP7 SRAM-Vt (low leakage),m12,0.7,20,0.13137,0.8426,0.84258,0.84523,0.8452,sdf_w5000
ASAP7 SRAM-Vt (low leakage),m12,0.7,50,0.13137,0.8426,0.84258,0.84917,0.84914,sdf_w5000
ASAP7 SRAM-Vt (low leakage),m12,0.7,100,0.13137,0.8426,0.84258,0.85574,0.85571,sdf_w5000
ASAP7 SRAM-Vt (low leakage),m12,0.7,250,0.13137,0.8426,0.84258,0.87544,0.87542,sdf_w5000
ASAP7 SRAM-Vt (low leakage),m12,0.7,500,0.13137,0.8426,0.84258,0.90829,0.90826,sdf_w5000
ASAP7 SRAM-Vt (low leakage),m12,0.7,1000,0.13137,0.8426,0.84258,0.97397,0.97395,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min32,0.7,1,0.10279,0.62498,0.62497,0.62508,0.62507,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min32,0.7,2,0.10279,0.62498,0.62497,0.62518,0.62517,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min32,0.7,5,0.10279,0.62498,0.62497,0.62549,0.62548,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min32,0.7,10,0.10279,0.62498,0.62497,0.626,0.62599,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min32,0.7,20,0.10279,0.62498,0.62497,0.62703,0.62702,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min32,0.7,50,0.10279,0.62498,0.62497,0.63012,0.63011,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min32,0.7,100,0.10279,0.62498,0.62497,0.63525,0.63524,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min32,0.7,250,0.10279,0.62498,0.62497,0.65067,0.65066,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min32,0.7,500,0.10279,0.62498,0.62497,0.67637,0.67636,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min32,0.7,1000,0.10279,0.62498,0.62497,0.72776,0.72775,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min16,0.7,1,0.053876,0.34345,0.34345,0.3435,0.3435,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min16,0.7,2,0.053876,0.34345,0.34345,0.34356,0.34356,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min16,0.7,5,0.053876,0.34345,0.34345,0.34372,0.34372,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min16,0.7,10,0.053876,0.34345,0.34345,0.34399,0.34399,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min16,0.7,20,0.053876,0.34345,0.34345,0.34453,0.34453,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min16,0.7,50,0.053876,0.34345,0.34345,0.34614,0.34614,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min16,0.7,100,0.053876,0.34345,0.34345,0.34884,0.34884,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min16,0.7,250,0.053876,0.34345,0.34345,0.35692,0.35692,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min16,0.7,500,0.053876,0.34345,0.34345,0.37039,0.37039,sdf_w5000
ASAP7 SRAM-Vt (low leakage),min16,0.7,1000,0.053876,0.34345,0.34345,0.39732,0.39733,sdf_w5000
ASAP7 SRAM-Vt (low leakage),g32p50,0.7,1,0.059292,0.45426,0.45426,0.45432,0.45432,sdf_w5000
ASAP7 SRAM-Vt (low leakage),g32p50,0.7,2,0.059292,0.45426,0.45426,0.45438,0.45438,sdf_w5000
ASAP7 SRAM-Vt (low leakage),g32p50,0.7,5,0.059292,0.45426,0.45426,0.45456,0.45456,sdf_w5000
ASAP7 SRAM-Vt (low leakage),g32p50,0.7,10,0.059292,0.45426,0.45426,0.45485,0.45485,sdf_w5000
ASAP7 SRAM-Vt (low leakage),g32p50,0.7,20,0.059292,0.45426,0.45426,0.45545,0.45545,sdf_w5000
ASAP7 SRAM-Vt (low leakage),g32p50,0.7,50,0.059292,0.45426,0.45426,0.45722,0.45722,sdf_w5000
ASAP7 SRAM-Vt (low leakage),g32p50,0.7,100,0.059292,0.45426,0.45426,0.46019,0.46019,sdf_w5000
ASAP7 SRAM-Vt (low leakage),g32p50,0.7,250,0.059292,0.45426,0.45426,0.46908,0.46908,sdf_w5000
ASAP7 SRAM-Vt (low leakage),g32p50,0.7,500,0.059292,0.45426,0.45426,0.48391,0.48391,sdf_w5000
ASAP7 SRAM-Vt (low leakage),g32p50,0.7,1000,0.059292,0.45426,0.45426,0.51355,0.51355,sdf_w5000
