util,nick,source,area_um2,core_area_um2,cells,fill_cells,setup_ws_ns,hold_viol,drc,bins,cycles_per_bin,energy_per_bin_nJ,leakage_uW,avg_power_uW_250Hz_clkstopped,pass_
40,bmi_snn_sp_5m_sram_sweep_u40,sweep,5241.55,5493.02,35260,12077,119.91,0,0,500,20.884,0.07957835669600001,0.722851,0.742745589174,True
50,bmi_snn_sp_5m_sram_sweep_u50,sweep,4150.55,4393.68,30875,11604,119.907,0,0,500,20.884,0.07913265036799999,0.721122,0.740905162592,True
60,bmi_snn_sp_5m_sram_u60,policy (accepted),3440.54,3664.36,27467,10776,119.91099999999999,0,0,500,20.884,0.07882766043200001,0.7187502,0.738457115108,True
70,bmi_snn_sp_5m_sram_sweep_u70,sweep,2936.92,3135.76,24466,9694,119.897,0,0,500,20.884,0.07200176679999999,0.703637,0.7216374417,True
